director_name,duration,gross,genres,movie_title,language,country,budget,title_year,imdb_score,Genre
JamesCameron,178,760505847,Action|Adventure|Fantasy|Sci-Fi,Avatar†,English,USA,237000000,2009,7.9,Action
GoreVerbinski,169,309404152,Action|Adventure|Fantasy,PiratesoftheCaribbean:AtWorld'sEnd†,English,USA,300000000,2007,7.1,Action
SamMendes,148,200074175,Action|Adventure|Thriller,Spectre†,English,UK,245000000,2015,6.8,Action
ChristopherNolan,164,448130642,Action|Thriller,TheDarkKnightRises†,English,USA,250000000,2012,8.5,Action
AndrewStanton,132,73058679,Action|Adventure|Sci-Fi,JohnCarter†,English,USA,263700000,2012,6.6,Action
SamRaimi,156,336530303,Action|Adventure|Romance,Spider-Man3†,English,USA,258000000,2007,6.2,Action
NathanGreno,100,200807262,Adventure|Animation|Comedy|Family|Fantasy|Musical|Romance,Tangled†,English,USA,260000000,2010,7.8,Adventure
JossWhedon,141,458991599,Action|Adventure|Sci-Fi,Avengers:AgeofUltron†,English,USA,250000000,2015,7.5,Action
DavidYates,153,301956980,Adventure|Family|Fantasy|Mystery,HarryPotterandtheHalf-BloodPrince†,English,UK,250000000,2009,7.5,Adventure
ZackSnyder,183,330249062,Action|Adventure|Sci-Fi,BatmanvSuperman:DawnofJustice†,English,USA,250000000,2016,6.9,Action
BryanSinger,169,200069408,Action|Adventure|Sci-Fi,SupermanReturns†,English,USA,209000000,2006,6.1,Action
MarcForster,106,168368427,Action|Adventure,QuantumofSolace†,English,UK,200000000,2008,6.7,Action
GoreVerbinski,151,423032628,Action|Adventure|Fantasy,PiratesoftheCaribbean:DeadMan'sChest†,English,USA,225000000,2006,7.3,Action
GoreVerbinski,150,89289910,Action|Adventure|Western,TheLoneRanger†,English,USA,215000000,2013,6.5,Action
ZackSnyder,143,291021565,Action|Adventure|Fantasy|Sci-Fi,ManofSteel†,English,USA,225000000,2013,7.2,Action
AndrewAdamson,150,141614023,Action|Adventure|Family|Fantasy,TheChroniclesofNarnia:PrinceCaspian†,English,USA,225000000,2008,6.6,Action
JossWhedon,173,623279547,Action|Adventure|Sci-Fi,TheAvengers†,English,USA,220000000,2012,8.1,Action
